aktiv;id;station;typ;titel;name;strasse;hausnummer;plz;ort;kategorien;hinweis;lat;lng;instagram
1;meeting;📍;meeting;INFOSTELLE Feuerwehr;Dorfgemeinschaft Beinum;Calbechter Weg;11;38259;Salzgitter-Beinum;Anmeldung|Kuchen|Grill|Getränke|Toiletten;<strong>INFOSTELLE der Dorfgemeinschaft Beinum</strong><br>📝 Anmeldung / Info<br>🍰 Kuchenverkauf: 10:00–14:00 Uhr<br>🌭 Grill & Getränke: 10:00–16:00 Uhr<br>🚻 Toiletten für Damen & Herren;;;https://www.instagram.com/feuerwehr.beinum/reels/
1;stand-1;1;stand;Liegnitzer Straße 16;;Liegnitzer Straße;16;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-2;2;stand;Liegnitzer Straße 22;;Liegnitzer Straße;22;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-3;3;stand;Calbechter Weg 16;;Calbechter Weg;16;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-4;4;stand;Calbechter Weg 10;;Calbechter Weg;10;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-5;5;stand;Kehlenwiese 9;;Kehlenwiese;9;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-6;6;stand;Karlstraße 8;;Karlstraße;8;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-7;7;stand;Karlstraße 12;;Karlstraße;12;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-8;8;stand;Karlstraße 22;;Karlstraße;22;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-9;9;stand;Karlstraße 23a;;Karlstraße;23a;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-10;10;stand;Karlstraße 24;;Karlstraße;24;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-11;11;stand;Karlstraße 28;;Karlstraße;28;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-12;12;stand;Driernweg 1;;Driernweg;1;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-13;13;stand;Driernweg 12;;Driernweg;12;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-14;14;stand;Driernweg 14;;Driernweg;14;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-15;15;stand;Am Pfarrhaus 1;;Am Pfarrhaus;1;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-16;16;stand;Am Pfarrhaus 2;;Am Pfarrhaus;2;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-17;17;stand;Am Pfarrhaus 8;;Am Pfarrhaus;8;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-18;18;stand;Lange Straße 15;;Lange Straße;15;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-19;19;stand;Lange Straße 19;;Lange Straße;19;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-20;20;stand;Lange Straße 21;;Lange Straße;21;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-21;21;stand;Lange Straße 22;;Lange Straße;22;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-22;22;stand;Lange Straße 23;;Lange Straße;23;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-23;23;stand;Lange Straße 27;;Lange Straße;27;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-24;24;stand;Lange Straße 28;;Lange Straße;28;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-25;25;stand;Bäckerstraße 7;;Bäckerstraße;7;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-26;26;stand;Bäckerstraße 7;;Bäckerstraße;7;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-27;27;stand;Bäckerstraße 13;;Bäckerstraße;13;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-28;28;stand;Bäckerstraße 17;;Bäckerstraße;17;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-29;29;stand;Benemer Straße 1b;;Benemer Straße;1b;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-30;30;stand;Benemer Straße 5;;Benemer Straße;5;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-31;31;stand;Springstraße 7;;Springstraße;7;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-32;32;stand;Springstraße 8;;Springstraße;8;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-33;33;stand;Worthstraße 4;;Worthstraße;4;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-34;34;stand;Worthstraße 6;;Worthstraße;6;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-35;35;stand;Worthstraße 14;;Worthstraße;14;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-36;36;stand;Worthstraße 18;;Worthstraße;18;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-37;37;stand;Zollhausstraße 7;;Zollhausstraße;7;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
1;stand-38;38;stand;Zollhausstraße 7;;Zollhausstraße;7;38259;Salzgitter-Beinum;Verkaufsstelle;;;;
